reference to rick grimes	1.0
pregnant woman	Non
stitching a wound	Non
scar	Non
flashback	Non
branding a woman with hot iron	Non
stabbed in the leg	Non
stabbed in the abdomen	Non
stabbed to death	Non
hit with a 2 by 4	Non
human branding	Non
decapitation	Non
missing child	Non
scars on back	Non
head split in half	Non
split head	Non
horseback riding	Non
woman wearing a tank top	Non
washing blood off hands	Non
subtitled sign language	Non
crossbow	Non
woman wearing a man's shirt	Non
hugging one's friend	Non
manhole	Non
holding cell	Non
family dinner	Non
worried mother	Non
adult on a swing set	Non
swing set	Non
bow and arrow	Non
female archer	Non
character's point of view camera shot	Non
bound and gagged	Non
woman bound and gagged	Non
banana bike	Non
child with a sword	Non
threatened with a sword	Non
hit with a lead pipe	Non
lead pipe	Non
beating a pregnant woman	Non
child in peril	Non
child fighting adult	Non
sword covered with blood	Non
bloody sword	Non
severed head	Non
mother child reunion	Non
stabbed in the head	Non
overhead camera shot	Non
mother daughter hug	Non
mother daughter reunion	Non
abduction	Non
horse drawn carriage	Non
dead skin mask	Non
non linear narrative	Non
nonlinear timeline	Non
finding a gun	Non
revolver	Non
old friends reunited	Non
female friends reunited	Non
kidnapping	Non
calling someone a badass	Non
abandoned school	Non
killing a child	Non
reference to carol peletier	Non
