kneed in the crotch	1.0
pay phone	Non
undercover	Non
abusive father	Non
episode title ends with a period	Non
punctuation in episode title	Non
period in episode title	Non
hyphen in episode title	Non
colon in episode title	Non
trust	Non
girl	Non
day in episode title	Non
time in episode title	Non
digit in episode title	Non
number in episode title	Non
wedding day	Non
operations center	Non
special assistant to the president	Non
head injury	Non
missing girl	Non
almost hit by a car	Non
journalist	Non
correspondent	Non
breaking someone's ankle	Non
female female hug	Non
sister sister hug	Non
sister sister relationship	Non
two sisters	Non
hit with a wrench	Non
secret service	Non
broken ankle	Non
foot chase	Non
abusive parent	Non
girl in danger	Non
hiding	Non
alley	Non
convertible	Non
wishing someone good luck	Non
press conference	Non
hit on the head	Non
head in bag	Non
severed head	Non
undercover operation	Non
undercover agent	Non
worried about daughter	Non
worried father	Non
leaving message on answering machine	Non
helicopter	Non
sunglasses	Non
teenage daughter	Non
teenager	Non
blonde woman	Non
blonde girl	Non
nanny	Non
widower	Non
9 year old	Non
father daughter relationship	Non
black u.s. president	Non
