nudity	1.0
assault rifle	Non
firearms	Non
handgun	Non
pistol	Non
shooting	Non
gun	Non
shot in head	Non
rifle	Non
automatic rifle	Non
shotgun	Non
midseason premiere	Non
slingshot	Non
cave	Non
claustrophobia	Non
ordered to strip	Non
mole in operation	Non
tunnel collapse	Non
mine	Non
abandoned mine	Non
trapped in mine	Non
flashlight	Non
screaming in a cave	Non
woman screaming	Non
trapped in a cave	Non
stabbed in the head	Non
asl	Non
redheaded woman	Non
latrine	Non
reference to frankenstein	Non
claustrophobic	Non
dynamite	Non
dynamite stick	Non
crate of dynamite	Non
walking in the woods	Non
knife held to crotch	Non
knife held between legs	Non
threatened with a knife	Non
squatting to defecate	Non
defecating	Non
woman asks a man to undress	Non
man undressing	Non
man undressing for a woman	Non
man undressing in front of a woman	Non
man undressing in the woods	Non
man told to undress	Non
man undressing in public	Non
mine cave in	Non
ordered to underess	Non
told to undress	Non
bare chested male	Non
sex in the woods	Non
kissing in the woods	Non
blood spatter	Non
blood on camera lens	Non
male objectification	Non
hairy chested male	Non
hairy chest	Non
forest	Non
woods	Non
male nudity	Non
male rear nudity	Non
bare butt	Non
male bare butt	Non
outdoor nudity	Non
wearing only shoes	Non
man wearing only shoes	Non
star appears nude	Non
male star appears nude	Non
naked man wearing shoes	Non
