singing in a car	1.0
needing to go to the bathroom	Non
periodic table of the elements	Non
shower curtain	Non
pizza	Non
stress	Non
vomiting	Non
girls' night out	Non
greek food	Non
mutton	Non
waltz	Non
man and woman share a shower	Non
monkey smokes a cigarette	Non
woman kisses a woman	Non
cigarette smoking	Non
roommate agreement	Non
lawyer	Non
woman with a hangover	Non
countdown	Non
self destruct	Non
reference to frank gorshin	Non
yoo hoo drink	Non
pneumatic chair	Non
lamb kabob	Non
stephen hawking impersonation	Non
kiss	Non
lesbian kiss	Non
blackmail	Non
hangover	Non
blowing smoke in someone's face	Non
drunken woman	Non
contract	Non
two in a shower	Non
