cookie	1.0
directed by greg nicotero	Non
marijuana	Non
motorcycle	Non
walkie talkie	Non
worried friend	Non
pregnant woman	Non
pulling a fire alarm	Non
girlfriend girlfriend relationship	Non
killed in sleep	Non
preemptive strike	Non
stabbed in the throat	Non
machete in the head	Non
machete	Non
honking a car horn	Non
character says i love you	Non
lesbian couple	Non
breaking up with girlfriend	Non
armory	Non
execution	Non
shot through a door	Non
shotgun	Non
blood on camera lens	Non
shot to death	Non
shot in the chest	Non
shootout	Non
head butt	Non
alarm	Non
stabbed in the chest	Non
polaroid	Non
stabbed in the back	Non
impalement	Non
murder	Non
throat slitting	Non
broken nose	Non
satellite	Non
severed hand	Non
decapitation	Non
severed head	Non
priest	Non
recreational vehicle	Non
church	Non
cemetery	Non
stabbed to death	Non
stabbed in the head	Non
lesbian kiss	0.0
