shared bath	1.0
murder of a boy	Non
pubic hair	Non
male objectification	Non
male male kiss	Non
same sex kiss	Non
bare chested male	Non
male nudity	Non
male frontal nudity	Non
barefoot male	Non
man wearing an open shirt	Non
bare butt	Non
male bare butt	Non
star appears nude	Non
male star appears nude	Non
cmnm	Non
cmnm scene	Non
clothed male naked male	Non
undressing	Non
stripping	Non
taking off clothes	Non
taking off shirt	Non
taking a bath	Non
homoerotic	Non
homoeroticism	Non
social nudity	Non
cave	Non
political marriage	Non
army on the march	Non
man and woman in bath	Non
preserved fetus	Non
decapitation	Non
execution in the rain	Non
severed hand	Non
skinny dipping	Non
cunnilingus	Non
passionate kiss	Non
woman undressing for a man	Non
praying for the dead	Non
trial by combat	Non
prayer	Non
flaming sword fight	Non
male full frontal nudity	Non
male rear nudity	Non
male pubic hair	Non
double child murder	Non
stillborn child	Non
kiss	Non
oral sex	Non
fetus in a jar	Non
beheading	Non
waterfall	Non
back from the dead	Non
coming back to life	Non
brought back to life	Non
bathtub	Non
loss of virginity	Non
sex in a cave	Non
bath	Non
gay kiss	Non
