100th episode	1.0
season premiere	Non
crossbow	Non
cane	Non
bearded man	Non
daydream	Non
rallying the troops	Non
reference to the koran	Non
koran quotation	Non
impalement	Non
impaled by a spear	Non
wristwatch	Non
little girl	Non
interracial kiss	Non
interracial love relationship	Non
sitting on a porch	Non
stabbed in the stomach	Non
tied to a telephone pole	Non
lookout point	Non
tiger	Non
exploding car	Non
car explosion	Non
motorcycle	Non
overpass	Non
trip wire	Non
tiger on a leash	Non
shooting into the air	Non
baseball bat	Non
pushed down stairs	Non
booby trap	Non
shootout	Non
explosion	Non
exploding rv	Non
hugging one's friend	Non
polaroid camera	Non
left behind	Non
female archer	Non
arrow through the head	Non
overhead camera shot	Non
flash forward	Non
episode title spoken by character	Non
man wearing a bathrobe	Non
woman wearing a tank top	Non
younger version of character	Non
double bitted battleaxe	Non
directed by greg nicotero	Non
