torture	1.0
woman hits a woman	Non
wound	Non
king	Non
lord	Non
army	Non
witch	Non
imprisoned	Non
spy	Non
queen	Non
battlefield	Non
attack	Non
cup bearer	Non
desert	Non
cave	Non
lady	Non
encampment	Non
cousin	Non
prisoner	Non
crossbow	Non
blackmail	Non
cruelty	Non
handmaiden	Non
screaming in pain	Non
screaming woman	Non
screaming	Non
dier wolf	Non
woman exposing her breasts	Non
blood	Non
bloody	Non
warfare	Non
bloody wound	Non
threaten	Non
husband wife relationship	Non
woman beaten with a belt	Non
woman screaming	Non
breasts	Non
whore	Non
uncle nephew relationship	Non
battle injury	Non
amputated foot	Non
surprise attack	Non
battle	Non
wolf	Non
horse	Non
male flatulence	Non
knight in armor	Non
campfire	Non
knight	Non
cruel king	Non
imprisonment	Non
girl pretending to be a boy	Non
brother brother rivalry	Non
brother brother relationship	Non
brother brother conflict	Non
ship	Non
woman spreading her legs	Non
cousin cousin relationship	Non
boat	Non
threat	Non
dead bodies	Non
dead soldier	Non
sexual violence	Non
sexual abuse	Non
bare butt female	Non
knight on horseback	Non
buttocks	Non
city gate	Non
dwarf	Non
horseback	Non
horseback riding	Non
imp	Non
bare chested	Non
confrontation	Non
man screaming	Non
screaming man	Non
birth of a demon	Non
nude pregnant woman	Non
recruiting a spy	Non
interrogation	Non
rat	Non
seeing through a disguise	Non
girl disguised as a boy	Non
strapped to a chair	Non
man hits a woman	Non
cutting the palm of one's hand	Non
pennant	Non
amputation	Non
field surgery	Non
infected wound	Non
flatulence	Non
close up of horse's eye	Non
caught in the rain	Non
woman undressing	Non
woman undressing for a man	Non
bare butt	Non
spanking buttocks	Non
sexual sadism	Non
female full rear nudity	Non
giving birth	Non
pregnant woman	Non
stealing from a dead body	Non
dead body	Non
clothes ripping	Non
crying woman	Non
rainy night	Non
pubic hair	Non
female pubic hair	Non
female rear nudity	Non
female frontal nudity	Non
female full frontal nudity	Non
bare breasts	Non
topless female nudity	Non
female nudity	Non
nudity	Non
head on a stake	Non
city wall	Non
prostitute	Non
boy king	Non
foot amputation	Non
public humiliation	Non
rescue	Non
kneeling	Non
corporal punishment	Non
abuse	Non
spear	Non
helmet	Non
soldier	Non
armor	Non
violence	Non
brutality	Non
sword	Non
supernatural birth	Non
belt	Non
beating	Non
spanking	Non
sadism	Non
beating with a belt	0.0
