lily of the valley	1.0
mutism	Non
deception	Non
assassination	Non
half of face blown off	Non
abduction	Non
neighbor	Non
blackmail	Non
alphabet board	Non
arson	Non
fire alarm	Non
fire axe	Non
pipe bomb	Non
handcuffed to a pipe	Non
taser	Non
desk bell	Non
breaking a window	Non
hundred dollar bill	Non
watching news on tv	Non
rooftop	Non
setting a room on fire	Non
wiping off fingerprints	Non
axe	Non
death by gunshot	Non
handcuffs	Non
reference to aerosmith the band	Non
reference to def leppard	Non
listening to a car radio	Non
radio news	Non
killed in an explosion	Non
death by explosion	Non
bomb explosion	Non
syringe	Non
person bundled into a car	Non
zapped with a taser	Non
revenge killing	Non
revenge against boss	Non
family photograph	Non
nurse	Non
nursing home patient	Non
binoculars	Non
hospital waiting room	Non
suspicion of poisoning	Non
sick child	Non
reference to thomas edison	Non
police protection	Non
neck brace	Non
ringing a bell	Non
man in a wheelchair	Non
nursing home	Non
police detective	Non
homemade explosive	Non
reference to goldilocks and the three bears	Non
bingo	Non
throwing a rock through a window	Non
rock thrown through a window	Non
reference to the discovery channel	Non
hospital	Non
questioned by police	Non
corrupt lawyer	Non
anti hero	Non
drug money	Non
meth lab	Non
